code_moi,code_cu,ma_vat_lieu,ten_san_pham,nguon_ma,file_bom
AC000001HG-XX,A0001HG-XX,XX,,ĐỀ XUẤT - cần duyệt,BKQC - BCNKZ Santorin 650130X650X750.xlsx
AC000002HG-IR,A0002HG-IR,IR,,ĐỀ XUẤT - cần duyệt,BKQC - So sanh mê ngồi.xlsx
BN000002HG-AL,B0002HG-AL,AL,Bench 1,Từ file BOM,BKQC - B0002HG-AL Bench 1.xlsx
BN000003HG-AL,B0003HG-AL,AL,Bench 2,Từ file BOM,BKQC - B0003HG-AL  Bench 2.xlsx
BN000004HG-AL,B0004HG-AL,AL,Ghế dài,Từ file BOM,BKQC - DINING SET - Ghỗ bạch đàn.xlsx
BN000005HG-AL,B0005HG-AL,AL,SOFA Trần Nhôm ống Bank 2,Từ file BOM,BKQC - C0085HG-AL -SOFA Trần Nhôm.xlsx
BN000006HG-AL,B0006HG-AL,AL,Bank 2,Từ file BOM,BKQC - B0006HG-AL-Club Chair  Bank 2.xlsx
BN000007HG-AL,B0007HG-AL,AL,Bank 3,Từ file BOM,BKQC - B0007HG-AL-Club Chair - Bank 3.xlsx
BN000008HG-AL,B0008HG-AL,AL,ARMCHAIR,Từ file TỔNG HỢP,(chưa có file BOM)
BN000009HG-IR,B0009HG-IR,IR,ARMCHAIR,Từ file TỔNG HỢP,(chưa có file BOM)
BN000010HG-AL,B0010HG-AL,AL,3 SEAT SOFA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000011HG-IR,B0011HG-IR,IR,3 SEAT SOFA,Từ file TỔNG HỢP,(chưa có file BOM)
BN000012HG-AL,B0012HG-AL,AL,Ghế tựa cong,Từ file BOM,B0012HG-AL-GHẾ TỰA CONG-GIGA-N775P221509.xlsx
BN000013HG-AL,B0013HG-AL,AL,Sorley Sofa Brief,Từ file BOM,BKQC-B0013HG-AL--SORLEY--GD27GFURN-95- sofa bank 2.xlsx
BN000014HG-AL,B0014HG-AL,AL,2 SEATER WITH TYPE 1 SIDE TABLE,Từ file BOM,B0014HG-AL+B0015HG-IR-2 SEATER WITH TYPE 1 SIDE TABLE.xlsx
BN000015HG-IR,B0015HG-IR,IR,2 SEATER WITH TYPE 1 SIDE TABLE,Từ file BOM,B0014HG-AL+B0015HG-IR-2 SEATER WITH TYPE 1 SIDE TABLE.xlsx
BN000016HG-AL,B0016HG-AL,AL,2 SEATER WITH TYPE 1 SIDE TABLE,Từ file BOM,B0016HG-AL+B0017HG-IR-2 SEATER WITH TYPE 2 SIDE TABLE.xlsx
BN000017HG-IR,B0017HG-IR,IR,2 SEATER WITH TYPE 1 SIDE TABLE,Từ file BOM,B0016HG-AL+B0017HG-IR-2 SEATER WITH TYPE 2 SIDE TABLE.xlsx
BN000018HG-AL,B0018HG-AL,AL,SINGLE CHAIR,Từ file BOM,B0018HG-AL+B0019HG-IR-SINGLE CHAIR.xlsx
BN000019HG-IR,B0019HG-IR,IR,SINGLE CHAIR,Từ file BOM,B0018HG-AL+B0019HG-IR-SINGLE CHAIR.xlsx
BN000020HG-AL,B0020HG-AL,AL,Sorley Armchair Brief,Từ file BOM,BKQC-B0020HG-AL-SORLEY--GD27GFURN-96 - Sorley Armchair Brief.xlsx
BN000021HG-AL,B0021HG-AL,AL,3 Seater Sofa-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000022HG-IR,B0022HG-IR,IR,3 Seater Sofa-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000023HG-AL,B0023HG-AL,AL,Arm chair-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000024HG-IR,B0024HG-IR,IR,Arm chair-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
BN000025HG-AL,B0025HG-AL,AL,Corner Arm Piece-TRISTAN,Từ file TỔNG HỢP,(chưa có file BOM)
