code,name,nhom,vat_lieu,dang,tiet_dien_a_mm,tiet_dien_b_mm,day_thanh_mm,unit,so_dong_bom,so_san_pham,can_ra_tay,cac_cach_viet_goc
VT-BB-1190-75-1205,1190*75*1205,BAO BI,,,,,,,1,1,CẦN RÀ,1190*75*1205
VT-BB-1240-X-540-X-190,1240 x 540 x 190,BAO BI,,,,,,,1,1,CẦN RÀ,1240 x 540 x 190
VT-BB-3-LOP-BOC-CHAN-150-X-300,3 lớp bọc chân 150 x 300,BAO BI,,,,,,,2,2,CẦN RÀ,3 lớp bọc chân 150 x 300
VT-BB-440-X-450-X-2050,440  x 450 x 2050,BAO BI,,,,,,,1,1,CẦN RÀ,440  x 450 x 2050
VT-BB-5-LOP-CHEN-GOC-300-X-300,5 lớp chèn góc 300 x 300,BAO BI,,,,,,,1,1,CẦN RÀ,5 lớp chèn góc 300 x 300
VT-BB-590-X-530-X-250,590 x 530 x 250,BAO BI,,,,,,,1,1,CẦN RÀ,590 x 530 x 250
VT-BB-690-X-650-X-320,690 x 650 x 320,BAO BI,,,,,,,1,1,CẦN RÀ,690 x 650 x 320
VT-BB-690X650X240,690x650x240,BAO BI,,,,,,,1,1,CẦN RÀ,690x650x240
VT-BB-BAO-BI-250LBS-DOI-KHAU-2150-X-350-,Bao bì 250lbs  Đối khẩu 2150 x 350 x 420,BAO BI,,,,,,,1,1,CẦN RÀ,Bao bì 250lbs  Đối khẩu 2150 x 350 x 420
VT-BB-BB-200LBS-2050-X-810-X-177,Bb 200lbs  2050 x 810 x 177,BAO BI,,,,,,,1,1,CẦN RÀ,Bb 200lbs  2050 x 810 x 177
VT-BB-BB-250LBS-2050-X-800-X-150,Bb 250lbs  2050 x 800 x 150,BAO BI,,,,,,,2,2,CẦN RÀ,Bb 250lbs  2050 x 800 x 150
VT-BB-BI-NHUA-BOC-CHAN,bì nhựa bọc chân,BAO BI,,,,,,,1,1,CẦN RÀ,bì nhựa bọc chân
VT-BB-BI-NHUA-BOC-MEM-ME-GOI,bì nhựa bọc mệm + mê+ gối,BAO BI,,,,,,,1,1,CẦN RÀ,bì nhựa bọc mệm + mê+ gối
VT-BB-BOC-CHAN-BAN-5-LOP-570-X-525,bọc chân bàn 5 lớp 570 x 525,BAO BI,,,,,,,1,1,CẦN RÀ,bọc chân bàn 5 lớp 570 x 525
VT-BB-CHEN-CANH-10X100X1430,Chèn cạnh 10x100x1430,BAO BI,,,,,,,1,1,CẦN RÀ,Chèn cạnh 10x100x1430
VT-BB-CHEN-CANH-160-X-2000,Chèn cạnh 160 x 2000,BAO BI,,,,,,,1,1,CẦN RÀ,Chèn cạnh 160 x 2000
VT-BB-CHEN-CANH-160-X-700,Chèn cạnh 160 x 700,BAO BI,,,,,,,1,1,CẦN RÀ,Chèn cạnh 160 x 700
VT-BB-CHEN-GOC-5-LOP-50-X-50-X-50,Chèn góc 5 lớp 50 x 50 x 50,BAO BI,,,,,,,1,1,CẦN RÀ,Chèn góc 5 lớp 50 x 50 x 50
VT-BB-CHEN-GOC-5-LOP-50X50,Chèn góc 5 lớp 50x50,BAO BI,,,,,,,1,1,CẦN RÀ,Chèn góc 5 lớp 50x50
VT-BB-CHEN-TO-ONG-CO-LO-6-200-55-20,chèn tổ ong cỡ lỗ 6 - 200 × 55 × 20,BAO BI,,,,,,,1,1,CẦN RÀ,chèn tổ ong cỡ lỗ 6 - 200 × 55 × 20
VT-BB-CT5-LOP-CO-DINH-CHAN-1087X1087,CT5 lớp cố định chân 1087x1087,BAO BI,,,,,,,1,1,CẦN RÀ,CT5 lớp cố định chân 1087x1087
VT-BB-DAY-DO,dây đỏ,BAO BI,,,,,,,2,2,CẦN RÀ,dây đỏ
VT-BB-DAY-ME-KHONG-CO-THONG-TIN,Dây mê (không có thông tin),BAO BI,,,,,,,1,1,CẦN RÀ,Dây mê (không có thông tin)
VT-BB-DAY-RUT,Dây rút,BAO BI,,,,,,,1,1,CẦN RÀ,Dây rút
VT-BB-DAY-RUT-NHUA-5X300,dây rút nhựa 5x300,BAO BI,,,,,,,1,1,CẦN RÀ,dây rút nhựa 5x300
VT-BB-GIAY-BOC-CHAN-800-X-6000,Giấy bọc chân 800 x 6000,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy bọc chân 800 x 6000
VT-BB-GIAY-BOC-KHUNG-600-X-2000,Giấy bọc khung 600 x 2000,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy bọc khung 600 x 2000
VT-BB-GIAY-BOC-KHUNG-CHAN-300-X-2100,Giấy bọc khung chân 300 x 2100,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy bọc khung chân 300 x 2100
VT-BB-GIAY-BOC-PAT-120-X120,Giấy bọc pát 120 x120,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy bọc pát 120 x120
VT-BB-GIAY-GOC-5-LOP-150-X-150,Giấy góc 5 lớp 150 x 150,BAO BI,,,,,,,2,2,CẦN RÀ,Giấy góc 5 lớp 150 x 150
VT-BB-GIAY-LOT-1430X1430,giấy lót 1430x1430,BAO BI,,,,,,,1,1,CẦN RÀ,giấy lót 1430x1430
VT-BB-GIAY-LOT-1600X1500,Giấy lót 1600x1500,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy lót 1600x1500
VT-BB-GIAY-LOT-3-LOP-CANH-1X100-X-350,Giấy lót 3 lớp cạnh 1x100 x 350,BAO BI,,,,,,,12,1,CẦN RÀ,Giấy lót 3 lớp cạnh 1x100 x 350
VT-BB-GIAY-LOT-3-LOP-GOC-1X100-X-350,Giấy lót 3 lớp góc 1x100 x 350,BAO BI,,,,,,,20,5,CẦN RÀ,Giấy lót 3 lớp góc 1x100 x 350
VT-BB-GIAY-LOT-3-LOP-GOC-75-X-75-X-75,Giấy lót 3 lớp góc 75 x 75 x 75,BAO BI,,,,,,,32,6,CẦN RÀ,Giấy lót 3 lớp góc 75 x 75 x 75
VT-BB-GIAY-LOT-700-X-1500,Giấy lót 700 x 1500,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy lót 700 x 1500
VT-BB-GIAY-LOT-CANH-50-X2000,Giấy lót cạnh 50 x2000,BAO BI,,,,,,,1,1,CẦN RÀ,Giấy lót cạnh 50 x2000
