ma_san_pham,nhom,ten_chi_tiet,dang,day,rong,day_thanh,ly_do
B0012HG-AL,KHUNG,Nan ngồi,,10.0,90.0,1.0,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0015HG-IR,KHUNG,Dọc biên khung bàn 2 bên,,20.0,250.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0015HG-IR,KHUNG,Ốp mặt trước,,2.0,600.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0015HG-IR,KHUNG,Ốp mặt sau,,2.0,550.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0015HG-IR,KHUNG,Ốp 2 bên,,2.0,262.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0015HG-IR,KHUNG,Ốp mặt trên,,2.0,228.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0014HG-AL,KHUNG,Dọc biên khung bàn 2 bên,,20.0,250.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0014HG-AL,KHUNG,Ốp mặt trước,,2.0,600.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0014HG-AL,KHUNG,Ốp mặt sau,,2.0,550.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0014HG-AL,KHUNG,Ốp 2 bên,,2.0,262.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0014HG-AL,KHUNG,Ốp mặt trên,,2.0,228.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0017HG-IR,KHUNG,Ốp mặt trước ( tựa ),,2.0,600.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
B0017HG-IR,KHUNG,Ốp mặt sau ( tựa ),,2.0,550.0,,Không đủ dữ liệu để sinh mã (thiếu dạng hoặc tiết diện)
