product_code,product_name,id,product_id,group_code,set_item_label,part_no,part_name,material_code,material_kind,profile_shape,profile_code,dim_a_mm,dim_b_mm,wall_thickness_mm,cut_length_mm,qty,unit,waste_pct,weight_kg,total_length_m,paint_area_m2,volume_m3,unit_price,amount,note,sort_order,created_at,updated_at,section_title,unit_basis,material_note,tenon
CH0200HG-AL,Ghế xếp Florenz,001c3e29-234d-49aa-9179-f8f31c808f24,b515c2f0-495c-4683-93bf-322192caaeee,HARDWARE,,,"Bulon 6x50x13, 7M",VT-PK-BULONG-M6X50,,,,,,,,4,con,0,,,,,,,"LK 2 chân, Chân + mê",16,2026-07-27T08:40:23.496126+00:00,2026-07-27T08:40:23.496126+00:00,,,Thép/Nhựa,
CH0187HG-AL,Bar Armchair,0039b6a4-679f-436f-a052-b1f2cb0f95c9,d74c0269-67ef-4343-979b-feef0e4277d9,PACKAGING,,,Cardboard lót tay vịn,VT-BB-CARDBOARD-LOT-TAY-VIN,,,,,,,,2,cái,0,,,,,,,,30,2026-07-27T08:39:51.973407+00:00,2026-07-27T08:39:51.973407+00:00,,,20x40x200mm · Bao bì,
TB0169HG-AL,Bàn CNKG Paxos,005e402b-06e5-4200-bea2-648b2cf6aa3b,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,FRAME,,,Chân,VT-AL-VUONG-60x60,AL,VUONG,,60,60,,655,4,Cái,0,,,,,,,,9,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,Vuông 60x60x655mm · Nhôm,
TB0174HG-AL,Bàn xếp Santorin,0121cf98-edaa-4d2a-8ae6-285ea3b82be2,9999b62a-9e6c-479a-a503-dfb1f5a01eda,HARDWARE,,,"LĐS 6x16x1, 7M",VT-PK-LDS-6X16X1-7M-6X16X1,,,,,,,,4,Con,0,,,,,,,,27,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,6x16x1,
CH0113HG-AL,Armchair,015582a0-5bd5-4aa4-9a4a-a018bac4bdb0,df8b1a79-e9a3-4514-b995-7239f1f0dacd,HARDWARE,,,Long đền nhọn 1 lỗ vít,VT-PK-LONGDEN-LONG-DEN-NHON-1-LO-VIT,,,,,,,,4,cái,0,,,,,,,,35,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,Kim loại,
CH0189HG-AL,Stacking Armchair,015dae31-3d67-4d23-81b6-076f7629673d,9d8c30ac-09ec-4dc2-8e68-42aeb736970f,FRAME,,,Thanh ngang mê trước,VT-AL-HOP-10x38,AL,HOP,,10,38,,506,1,Cái,0,,,,,,,Profile 210,3,2026-07-27T08:39:53.627404+00:00,2026-07-27T08:39:53.627404+00:00,,,Hộp 10x38x506mm · Nhôm,
CH0188HG-AL,Stacking Armchair,01c3b124-ba15-4e87-b5d1-32aa739d31e9,e8973176-e4ea-48ca-af9b-3be8ebadfe91,FRAME,,,Thanh ngang mê sau,VT-AL-HOP-12x30,AL,HOP,,12,30,,448,1,Cái,0,,,,,,,,4,2026-07-27T08:39:52.817133+00:00,2026-07-27T08:39:52.817133+00:00,,,Hộp 12x30x448mm · Nhôm,
CH0177HG-AL,Ghế XC Siena,01daf5ea-ae2b-4ac1-8b40-812d337dafa7,ecc2779b-b769-4034-aad4-8cd732d1b4de,HARDWARE,,,Gót chân phi 27 bằng màu đen,VT-PK-DECHAN-GOT-CHAN-PHI-27-BANG-MAU,,,,,,,,2,cái,0,,,,,,,,14,2026-07-27T08:40:15.874288+00:00,2026-07-27T08:40:15.874288+00:00,,,Gót chân phi 27 bằng màu đen,
CH0113HG-AL,Armchair,01e35a88-6c68-41c5-b725-27b99d5748e6,df8b1a79-e9a3-4514-b995-7239f1f0dacd,FRAME,,,Dọc mê ngồi,VT-AL-PF-TDA593,AL,PF,TDA593,22,35,,505,2,Cái,0,,,,,,,,2,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,TD-A593 22x35x505mm · Nhôm,
CH0114HG-AL,"Ghế 5 bậc Santorin Khung nhôm, gỗ keo Tay ghế làm bằng gỗ cong",026f1789-d6ac-4c51-aec8-c6e6b64aa886,1959095d-7773-4766-a3b4-ebb37d852937,HARDWARE,,,Nắp nhựa dẻo chụp lỗ bắn vít,VT-PK-VIT-NAP-NHUA-DEO-CHUP-LO-BAN,,,,,,,,18,Cái,0,,,,,,,,21,2026-07-27T08:40:09.71892+00:00,2026-07-27T08:40:09.71892+00:00,,,đen · Nhựa dẻo,
CH0187HG-AL,Bar Armchair,028d5fff-2b16-4af6-a196-3cf17ca5e0d8,d74c0269-67ef-4343-979b-feef0e4277d9,PACKAGING,,,Dây đai,VT-BB-DAY-DAI,,,,,,,,40,m,0,,,,,,,,17,2026-07-27T08:39:51.973407+00:00,2026-07-27T08:39:51.973407+00:00,,,Dây đai · Bao bì,
CH0170HG-AL,Ghế 5 bậc Paxos,02b3854f-77c7-4eaa-a1d8-1bd0e5222581,b6a4f71a-46ec-4e19-bd92-8bae4aed885f,HARDWARE,,,"LĐN 6x16x1, đen",VT-PK-LDN-6X16X1-DEN-6X16X1,,,,,,,,2,con,0,,,,,,,,32,2026-07-27T08:40:07.00024+00:00,2026-07-27T08:40:07.00024+00:00,,,6x16x1,
SL0181HG-AL,Giường tắm nắng Paxos,030ac070-e393-4b71-86f9-b172e8edccc1,061e7682-05b0-43e3-a65d-1d7921caa87b,FRAME,,,Ngang Chống tựa,VT-AL-VUONG-16x16,AL,VUONG,,16,16,,590,1,Cái,0,,,,,,,,10,2026-07-27T08:40:07.914699+00:00,2026-07-27T08:40:07.914699+00:00,,,Vuông 16x16x590mm · Nhôm,
CH0113HG-AL,Armchair,03b931e7-6fd6-4d85-9299-aeb3e06a659f,df8b1a79-e9a3-4514-b995-7239f1f0dacd,PACKAGING,,,Túi vải,VT-BB-TUI-VAI,,,,,,,,1,cái,0,,,,,,,,38,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,Vải,
CH0201HG-IN,"Ghế 5 bậc Ferrara khung Inox, vải fabric, tay gỗ keo",03bd06de-1c78-4ff6-a1f0-76135e64a580,527ef8dc-ab18-4fd7-a30f-0bf800df1e6d,FRAME,,,Pat I,VT-IN-LA-2.5x2.5,IN,LA,,2.5,2.5,,,2,cái,0,,,,,,,,15,2026-07-27T08:40:24.339854+00:00,2026-07-27T08:40:24.339854+00:00,,,La 2.5x0x0mm · La,
CH0177HG-AL,Ghế XC Siena,03c2d15d-5e3c-4891-9421-a3bac2cba69e,ecc2779b-b769-4034-aad4-8cd732d1b4de,FRAME,,,Đố sau,VT-AL-PF-TDB57,AL,PF,TDB57,15,35,,440,1,Cái,0,,,,,,,,2,2026-07-27T08:40:15.874288+00:00,2026-07-27T08:40:15.874288+00:00,,,TD-B57 15x35x440mm · Nhôm,
TB0169HG-AL,Bàn CNKG Paxos,03f5bdee-6819-4d01-a38f-8f6432477d77,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,FRAME,,,Nối chân,VT-AL-VUONG-57x57,AL,VUONG,,57,57,,10,4,Cái,0,,,,,,,,4,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,Vuông 57x57x10mm · Nhôm,
