product_code,product_name,id,product_id,group_code,part_no,part_name,material_code,material_kind,profile_shape,profile_code,dim_a_mm,dim_b_mm,wall_thickness_mm,cut_length_mm,qty,unit,weight_kg,total_length_m,paint_area_m2,volume_m3,note,sort_order,created_at,updated_at,section_title,unit_basis,material_note,tenon,cluster_id,bend_waste_mm,tenon_mm,kg_per_m,paint_area_box_m2,color,blank_confirmed_at,blank_confirmed_by,updated_by,wood_species,bar_length_m,pcs_per_bar,roll_width_m,waste_pct,sheet_w_mm,sheet_l_mm,m3_per_sheet
CH0269HG-AL,Lounge Chair A,00069426-f939-45d7-896b-e9a37fea4395,63e78f55-d3ee-4af5-8158-41aa7cdb4581,NGU_KIM,,Lục giác,,,,,,,,,1,cái,,,,,,5,2026-08-11T05:34:14.215614+00:00,2026-08-11T05:34:14.215614+00:00,VẬT TƯ NGŨ KIM,,,,,,,,,,,,,,,,,,,,
CH0235HG-AL,Ghế 5pos Tinos,000a8d75-b79c-4414-9d0b-24d9981f215a,b80d0bfd-ac0a-415a-8b0e-85d0419d63c4,FRAME,2,Giằng chân,,,,HỘP 15X35*1 MM,15,35,,480,2,,0.2448,,,,,2,2026-08-11T05:32:01.900475+00:00,2026-08-11T05:32:01.900475+00:00,Quy cách nhôm:,,,,,,,,,,,,,,,,,,,,
CH0209HG-AL,"Ghế nhôm lưới Tilos có ben, khung nhôm (Ghế San Remo nhôm lưới)",003ad0e1-535b-46b3-814f-66a09cfc03d5,2a289ff1-29d7-4742-a4c4-d6d72affbcea,NGU_KIM,,Ca lê 10-13,,,,,,,,,1,cái,,,,,,25,2026-08-11T04:40:24.422135+00:00,2026-08-11T04:40:24.422135+00:00,VẬT TƯ NGŨ KIM,,,,,,,,,,,,,,,,,,,,
OT0183HG-AL,SoyoL Dining M,004bd0d5-1e2f-4e1a-89a6-ccbce14c9f99,5cc25ef1-84ab-49af-ac2d-e6133ee931ae,NGU_KIM,,Gối,,,,,,380,,450,1,cái,,,,,,24,2026-08-11T05:32:42.007481+00:00,2026-08-11T05:32:42.007481+00:00,VẬT TƯ NGŨ KIM,,,,,,,,,,,,,,,,,,,,
TB0254HG-AL,Extendable aluminum dining table with Polywood tabletop,008aa0ae-6d56-4ffd-b85f-aca58fb5aa6a,2a709dd3-7c14-4bf2-9962-3747b78c1f64,NGU_KIM,,Chân 60x60,,,,,,,,,4,cái,,,,,,3,2026-08-11T05:32:52.507121+00:00,2026-08-11T05:32:52.507121+00:00,VẬT TƯ NGŨ KIM,,,,,,,,,,,,,,,,,,,,
TB0251HG-IR,Bàn Delos,008bd9cb-ffe1-4f09-8121-3c93a45ba250,7056e5f7-934b-4e18-846e-a997a039f3c8,FRAME,9,Lót chân bắt bàn,,,TRON,,22,,,40,4,,,,,,,9,2026-08-11T05:32:22.771402+00:00,2026-08-11T05:32:22.771402+00:00,Quy cách sắt:,,,,,,,,,,,,,,,,,,,,
CH0017HG-AL,Ghế 5pos Tilos - Tay + tựa Polywood,008de7f0-3992-4b82-ba46-548f4bce1536,5316e35d-bee7-472c-9570-2b356ad8ccfc,FRAME,7,Bạ nẹp lưới,,,,Móc vải,,,,630,2,,0.3276,,,,,7,2026-08-11T04:40:25.254159+00:00,2026-08-11T04:40:25.254159+00:00,Quy cách Nhôm:,,,,,,,,,,,,,,,,,,,,
CH0015HG-AL,Ghế XC Tilos tăng cao tựa 910 Tay vịn+tựa đầu Plywood,00a8d62d-1d20-4c5b-8ab8-afc492787d0a,8ffaf452-d4b2-477a-86cb-5a3344d0b8ad,FRAME,4,Đố sau,,,,TD-972,25,25,,453,1,,0.152004,,,,,4,2026-08-11T04:40:25.419031+00:00,2026-08-11T04:40:25.419031+00:00,Quy cách Nhôm:,,,,,,,,,,,,,,,,,,,,
CH0200HG-AL,Ghế xếp Florenz,00b52a0e-aa49-4f74-992a-60568d6afee6,b515c2f0-495c-4683-93bf-322192caaeee,NGU_KIM,800,Eru 6 keo đen,,,,,,,,,2,con,,,,,,5,2026-08-11T04:40:31.151489+00:00,2026-08-11T04:40:31.151489+00:00,VẬT TƯ NGŨ KIM,,,,,,,,,,,,,,,,,,,,
TB0251HG-IR,Bàn Delos,00cc31fe-8c0b-4568-a006-bbab4a5e9f82,7056e5f7-934b-4e18-846e-a997a039f3c8,FRAME,7,Viền trong mặt bàn,,,TRON,,10,,,260,4,,,,,,,7,2026-08-11T05:32:22.771402+00:00,2026-08-11T05:32:22.771402+00:00,Quy cách sắt:,,,,,,,,,,,,,,,,,,,,
